2026-03-12 07:17:53,568 | INFO | __main__ | sentinel.py:658 | Bot detenido manualmente.
2026-03-12 07:18:05,740 | INFO | __main__ | sentinel.py:624 | Bot operativo con Excepciones de Festivos y Cierre.
2026-03-12 07:18:05,741 | INFO | __main__ | sentinel.py:638 | 


--------------------- Iniciando Escaneo con Intervalo: 15min  a las 07:18:05 -------------------


2026-03-12 07:18:05,983 | INFO | database.dbManager | dbManager.py:145 | Se cargaron 11 símbolos activos.
2026-03-12 07:18:05,990 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:18:05,990 | INFO | __main__ | sentinel.py:86 | Descargando datos para AUD/USD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 07:18:08,728 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:18:17,738 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:18:17,738 | INFO | __main__ | sentinel.py:86 | Descargando datos para EUR/USD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 07:18:28,268 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:18:28,269 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/CAD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 07:18:29,727 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:18:38,735 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:18:38,735 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/JPY de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 07:18:39,993 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:18:49,000 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:18:49,000 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/USD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 07:18:50,375 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:18:59,382 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:18:59,382 | INFO | __main__ | sentinel.py:86 | Descargando datos para NZD/USD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 07:19:00,573 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:19:09,580 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:19:09,580 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/CAD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 07:19:10,736 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:19:19,743 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:19:19,744 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/CHF de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 07:19:20,959 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:19:29,966 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:19:29,967 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/JPY de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 07:19:31,169 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:19:40,176 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:19:40,176 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/MXN de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 07:19:41,405 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:19:50,417 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:19:50,418 | INFO | __main__ | sentinel.py:86 | Descargando datos para XAU/USD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 07:19:51,686 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:20:00,687 | INFO | __main__ | sentinel.py:645 | ✅ Ciclo completado. Esperando próxima vela...
2026-03-12 07:20:00,687 | INFO | scheduler.autoScheduler | autoScheduler.py:78 | ⏳ Sincronizando: Próximo escaneo en 10m 2s
2026-03-12 07:30:02,671 | INFO | __main__ | sentinel.py:638 | 


--------------------- Iniciando Escaneo con Intervalo: 15min  a las 07:30:02 -------------------


2026-03-12 07:30:02,705 | INFO | database.dbManager | dbManager.py:145 | Se cargaron 11 símbolos activos.
2026-03-12 07:30:02,733 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:30:02,734 | INFO | __main__ | sentinel.py:86 | Descargando datos para AUD/USD de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 07:30:04,553 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:30:13,562 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:30:13,563 | INFO | __main__ | sentinel.py:86 | Descargando datos para EUR/USD de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 07:30:24,250 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:30:24,250 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/CAD de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 07:30:25,767 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:30:34,783 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:30:34,783 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/JPY de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 07:30:36,291 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:30:45,311 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:30:45,311 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/USD de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 07:30:46,844 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:30:55,863 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 07:30:55,863 | INFO | __main__ | sentinel.py:86 | Descargando datos para NZD/USD de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 07:30:57,345 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 07:31:06,353 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
